,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_REDACAO,NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC
0,1100015,Alta Floresta D'Oeste,11,RO,562.2872340425532,503.0244680851067,467.09281914893614,495.1925531914895,506.72925531914836
1,1100023,Ariquemes,11,RO,535.4170249355116,499.1663370593289,463.6404557179711,494.0215821152198,509.7412725709384
2,1100031,Cabixi,11,RO,503.4375,497.44374999999985,454.45312499999994,476.4796875000001,490.6499999999998
3,1100049,Cacoal,11,RO,546.7935578330893,510.8744875549052,469.2048316251822,496.84399707174197,511.7807101024881
4,1100056,Cerejeiras,11,RO,556.3013698630137,505.1756849315069,468.3811643835617,491.67294520547966,508.29349315068475
5,1100064,Colorado do Oeste,11,RO,538.6813186813187,506.54542124542155,468.1271062271063,496.9838827838827,508.6505494505498
6,1100072,Corumbiara,11,RO,539.3103448275862,487.5413793103449,465.97413793103453,482.2155172413794,490.64999999999986
7,1100080,Costa Marques,11,RO,473.6645962732919,467.2161490683229,430.52360248447195,465.131055900621,481.3354037267081
8,1100098,Espigão D'Oeste,11,RO,541.056,508.25503999999955,465.35136000000017,497.83024000000006,505.19903999999946
9,1100106,Guajará-Mirim,11,RO,473.51826792963465,466.41481732070366,438.8171853856561,466.94181326116404,488.01840324763185
10,1100114,Jaru,11,RO,522.6992561105208,487.72157279489903,452.96301806588735,484.75270988310336,503.19596174282697
11,1100122,Ji-Paraná,11,RO,541.1353976927747,502.0779599271394,462.9778992106857,491.37052216150624,508.1041287188833
12,1100130,Machadinho D'Oeste,11,RO,523.2804232804233,490.8169312169307,460.2367724867725,482.6968253968252,495.70978835978843
13,1100148,Nova Brasilândia D'Oeste,11,RO,535.1111111111111,503.2499999999999,455.9714814814815,484.66148148148136,499.8940740740746
14,1100155,Ouro Preto do Oeste,11,RO,530.1538461538462,494.6481538461543,458.2295384615382,488.3446153846152,503.9693846153843
15,1100189,Pimenta Bueno,11,RO,539.8469387755102,500.2864795918372,457.8446428571427,486.1413265306122,506.04910714285757
16,1100205,Porto Velho,11,RO,543.9773655349434,494.20471356901226,460.0954672733656,493.4139248629085,508.6240870376866
17,1100254,Presidente Médici,11,RO,533.9571150097466,493.088499025341,460.457699805068,489.6668615984409,502.7789473684213
